mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.398073673248291,0.10123324182374188,0.04918065071105957,0.0012107701254099798,0.8,0.05,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.8441358176640097,0.8384292651015103,0.8490884413055857,0.8392275697390058,0.839634108123467,0.8421030403867158,0.00401966646051561,12
2.665851926803589,0.03458507664408942,0.08553991317749024,0.003516333714197636,0.8,0.05,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.8563979255676839,0.8500173279585974,0.8615034828089576,0.8515021722881365,0.8530500979749106,0.8544942013196571,0.004094734675055562,10
3.0168402671813963,0.11366103487668668,0.0732943058013916,0.0013443690861962073,0.8,0.05,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.865025685718149,0.8570984355639915,0.8691141709924198,0.860507197843407,0.8608362110560788,0.8625163402348093,0.0041482855178748244,8
5.164319467544556,0.0827025969751716,0.1527932643890381,0.004666863186099632,0.8,0.05,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.8728076255556741,0.8638401561716288,0.8761459854404564,0.8677028651796246,0.8689130913912,0.8698819447477166,0.004242359904086547,6
6.101233386993409,0.16986686000648274,0.13016395568847655,0.013940093874794586,0.8,0.05,8,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.8}",0.8782800406602814,0.8672003484970218,0.8807738088557926,0.8725692846416813,0.8744345138426675,0.874651599299489,0.004702155580389854,5
10.124388408660888,0.16194178090704103,0.2174056053161621,0.025373045030463205,0.8,0.05,8,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.8835912581245654,0.8724427963929409,0.8848817109706164,0.8775817502434989,0.8807627435488229,0.8798520518560888,0.0044757084269665265,2
1.6082864284515381,0.7719486850443202,0.05046491622924805,0.0014280848855042602,0.8,0.1,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.8561898373782201,0.8478680679442901,0.8592790445202005,0.8503015374681444,0.8513305778302332,0.8529938130282178,0.004147449052953171,11
2.3413139820098876,0.036896344442262835,0.08770112991333008,0.0013208766907757664,0.8,0.1,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.8644525977656867,0.8570009046218748,0.8678537938369575,0.8589002636411518,0.8623387971657461,0.8621092714062835,0.003871344482170832,9
2.492682695388794,0.2720487650110667,0.07743687629699707,0.002371239792458368,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.8723666208575297,0.8613361711108709,0.8747175714370298,0.8664416048026817,0.8674957902099345,0.8684715516836092,0.004694055332874799,7
4.634602832794189,0.11126911500678549,0.15324077606201172,0.012117873978845043,0.8,0.1,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.8788144169807046,0.8687430819656287,0.8783392537337299,0.8734547701737778,0.8745946555144356,0.8747892356736553,0.0036654971573112575,4
5.230473184585572,0.12333321614757925,0.09959511756896973,0.00832185032395789,0.8,0.1,8,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.8}",0.8807948359168585,0.8698420309141602,0.8833130569398473,0.8761689163627945,0.8778311391617756,0.8775899958590871,0.004585477199704267,3
7.3681159019470215,0.5124306646289079,0.12328824996948243,0.007429653619179669,0.8,0.1,8,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.8853373732844796,0.8757744743509632,0.8863181486423022,0.8812424459652299,0.8830174532395372,0.8823379790965025,0.0037304044715196,1
